λ(nm) n k
845 1.8883286 0.001421486
846 1.8880428 0.001419324
847 1.8877622 0.001417087
848 1.8874824 0.001414836
849 1.8872025 0.001412586
850 1.8869227 0.001410335
851 1.8866429 0.001408085
852 1.8863631 0.001405834
853 1.8860834 0.001403583
854 1.8858036 0.001401333
855 1.8855271 0.001399034
856 1.8852526 0.001396707
857 1.8849782 0.00139438
858 1.8847038 0.001392053
859 1.8844292 0.001389726
860 1.8841548 0.001387399
861 1.8838803 0.001385072
862 1.8836058 0.001382745
863 1.8833356 0.0013804
864 1.883078 0.001377999
865 1.8828204 0.001375599
866 1.8825628 0.001373198
867 1.8823051 0.001370798
868 1.8820475 0.001368398
869 1.8817899 0.001365997
870 1.8815323 0.001363597
871 1.8812747 0.001361196
872 1.8810207 0.001358764
873 1.8807681 0.001356318
874 1.8805155 0.001353873
875 1.880263 0.001351427
876 1.8800104 0.001348982
877 1.8797578 0.001346536
878 1.8795052 0.001344091
879 1.8792526 0.001341645
880 1.879 0.0013392
881 1.8787638 0.001336725
882 1.8785275 0.001334251
883 1.8782914 0.001331776
884 1.8780551 0.001329301
885 1.877819 0.001326827
886 1.8775827 0.001324352
887 1.8773465 0.001321877
888 1.8771102 0.001319402
889 1.8768746 0.001316923
890 1.876643 0.00131441
891 1.8764114 0.001311896
892 1.8761799 0.001309382
893 1.8759484 0.001306868
894 1.8757169 0.001304355
895 1.8754853 0.001301841
896 1.8752538 0.001299327
897 1.8750223 0.001296813
898 1.8747909 0.001294298
899 1.8745642 0.001291761
900 1.8743373 0.001289223
901 1.8741106 0.001286685
902 1.8738838 0.001284147
903 1.873657 0.00128161
904 1.8734303 0.001279072
905 1.8732034 0.001276534
906 1.8729767 0.001273996
907 1.8727499 0.001271458
908 1.8725266 0.001268919
909 1.8723044 0.001266379
910 1.8720822 0.00126384
911 1.87186 0.0012613
912 1.8716378 0.00125876
913 1.8714156 0.001256221
914 1.8711933 0.001253681
915 1.8709711 0.001251141
916 1.8707489 0.001248602
917 1.8705316 0.001246062
918 1.8703244 0.001243523
919 1.8701171 0.001240984
920 1.8699099 0.001238446
921 1.8697026 0.001235907
922 1.8694954 0.001233368
923 1.8692881 0.001230829
924 1.8690808 0.00122829
925 1.8688736 0.001225751
926 1.8686663 0.001223212
927 1.8684689 0.001220681
928 1.8682759 0.001218153
929 1.868083 0.001215625
930 1.8678901 0.001213097
931 1.8676972 0.001210569
932 1.8675044 0.001208041
933 1.8673115 0.001205514
934 1.8671186 0.001202986
935 1.8669257 0.001200458
936 1.8667328 0.00119793
937 1.8665352 0.001195406
938 1.8663366 0.001192884
939 1.866138 0.001190362
940 1.8659394 0.001187839
941 1.8657407 0.001185317
942 1.865542 0.001182795
943 1.8653435 0.001180272
944 1.8651448 0.00117775
945 1.8649462 0.001175228
946 1.8647476 0.001172705
947 1.8645595 0.0011702
948 1.8643748 0.0011677
949 1.8641899 0.0011652
950 1.8640051 0.0011627
951 1.8638202 0.0011602
952 1.8636354 0.0011577
953 1.8634505 0.0011552
954 1.8632658 0.0011527
955 1.863081 0.0011502
956 1.8628961 0.0011477
957 1.8627177 0.001145217
958 1.8625466 0.001142753
959 1.8623753 0.001140288
960 1.862204 0.001137824
961 1.8620328 0.00113536
962 1.8618615 0.001132896
963 1.8616902 0.001130431
964 1.861519 0.001127967
965 1.8613477 0.001125503
966 1.8611764 0.001123038
967 1.8610052 0.001120574
968 1.8608285 0.001118136
969 1.8606519 0.001115699
970 1.8604751 0.001113261
971 1.8602983 0.001110824
972 1.8601216 0.001108387
973 1.8599448 0.00110595
974 1.8597682 0.001103513
975 1.8595914 0.001101075
976 1.8594146 0.001098638
977 1.8592379 0.001096201
978 1.859064 0.001093773
979 1.8589 0.001091378
980 1.858736 0.001088983
981 1.8585721 0.001086587
982 1.8584082 0.001084192
983 1.8582443 0.001081797
984 1.8580804 0.001079401
985 1.8579164 0.001077006
986 1.8577524 0.001074611
987 1.8575885 0.001072216
988 1.8574246 0.00106982
989 1.8572637 0.001067436
990 1.8571124 0.001065088
991 1.8569613 0.001062739
992 1.85681 0.00106039
993 1.8566587 0.001058041
994 1.8565074 0.001055693
995 1.8563563 0.001053344
996 1.856205 0.001050995
997 1.8560537 0.001048646
998 1.8559024 0.001046298
999 1.8557513 0.001043949
1000 1.8556 0.0010416
1001 1.8554435 0.001039296
1002 1.855287 0.001036991
1003 1.8551304 0.001034687
1004 1.8549739 0.001032383
1005 1.8548174 0.001030078
1006 1.8546609 0.001027774
1007 1.8545043 0.00102547
1008 1.8543478 0.001023165
1009 1.8541913 0.001020861
1010 1.8540348 0.001018557
1011 1.8538783 0.001016252
1012 1.8537279 0.001013975
1013 1.8535839 0.001011724
1014 1.8534398 0.001009473
1015 1.8532958 0.001007222
1016 1.8531517 0.001004971
1017 1.8530077 0.00100272
1018 1.8528636 0.001000469
1019 1.8527195 0.000998219
1020 1.8525754 0.000995968
1021 1.8524313 0.000993717
1022 1.8522873 0.000991466
1023 1.8521432 0.000989215
1024 1.8520008 0.000986993
1025 1.8518592 0.000984783
1026 1.8517175 0.000982573
1027 1.8515759 0.000980363
1028 1.8514341 0.000978153
1029 1.8512925 0.000975943
1030 1.8511509 0.000973733
1031 1.8510091 0.000971523
1032 1.8508675 0.000969313
1033 1.8507259 0.000967103
1034 1.8505841 0.000964893
1035 1.8504425 0.000962683
1036 1.8503089 0.000960514
1037 1.8501788 0.000958362
1038 1.8500488 0.00095621
1039 1.8499187 0.000954057
1040 1.8497887 0.000951905
1041 1.8496585 0.000949753
1042 1.8495284 0.000947601
1043 1.8493984 0.000945449
1044 1.8492683 0.000943297
1045 1.8491383 0.000941145
